Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2025-01-31 22:04:18,2025-02-01 14:24:30,7-Eleven,-4.84,0.00,EUR,COMPLETED,219.85
Transfer,Current,2025-02-01 22:45:24,2025-02-01 22:45:24,To pocket EUR Tesla savings from EUR,-0.16,0.00,EUR,COMPLETED,219.69
Transfer,Current,2025-02-02 13:05:13,2025-02-02 13:05:13,To pocket EUR Tesla savings from EUR,-0.91,0.00,EUR,COMPLETED,218.78
Card Payment,Current,2025-02-01 22:45:24,2025-02-02 15:37:02,Rejsekort,-9.84,0.10,EUR,COMPLETED,208.84
Transfer,Current,2025-02-02 22:05:29,2025-02-02 22:05:29,To pocket EUR Tesla savings from EUR,-0.25,0.00,EUR,COMPLETED,208.59
Card Payment,Current,2025-02-02 13:05:13,2025-02-03 15:46:34,Copenhagen Souvenir,-10.09,0.10,EUR,COMPLETED,198.40
Card Payment,Current,2025-02-02 22:05:28,2025-02-03 15:49:26,Rejsekort,-5.75,0.06,EUR,COMPLETED,192.59
Transfer,Current,2025-02-05 14:32:13,2025-02-05 14:32:13,Pocket Withdrawal,6.67,0.00,EUR,COMPLETED,199.26
Transfer,Current,2025-02-05 14:32:39,2025-02-05 14:32:39,Revolut Bank UAB Zweigniederlassung Deutschland,-0.01,0.00,EUR,COMPLETED,199.25
Transfer,Current,2025-02-05 14:32:39,2025-02-05 14:32:39,Revolut Bank UAB Zweigniederlassung Deutschland,0.01,0.00,EUR,COMPLETED,199.26
Deposit,Current,2025-02-05 23:24:43,2025-02-05 23:24:44,Payment from TOMMASO BATACCHI,350.00,0.00,EUR,COMPLETED,549.26
Card Payment,Current,2025-02-07 01:03:59,2025-02-07 16:12:18,Holafly,-49.22,0.00,EUR,COMPLETED,500.04
Card Payment,Current,2025-02-07 03:50:50,2025-02-07 16:35:01,Ipapira Sucos,-2.69,0.00,EUR,COMPLETED,497.35
Card Payment,Current,2025-02-07 12:51:45,2025-02-08 14:58:24,Paineiras Corcovado,-42.29,0.00,EUR,COMPLETED,455.06
Card Payment,Current,2025-02-07 15:42:14,2025-02-08 14:58:27,Hotelaria Accorinvest,-13.87,0.00,EUR,COMPLETED,441.19
Card Payment,Current,2025-02-07 14:28:21,2025-02-08 14:58:43,Drogaria Venancio,-13.28,0.00,EUR,COMPLETED,427.91
Card Payment,Current,2025-02-07 16:08:29,2025-02-08 15:01:34,Uber,-9.53,0.00,EUR,COMPLETED,418.38
Card Payment,Current,2025-02-07 18:15:41,2025-02-08 15:02:26,Uber,-5.72,0.00,EUR,COMPLETED,412.66
Card Payment,Current,2025-02-08 03:29:24,2025-02-08 15:04:16,Uber,-2.34,0.02,EUR,COMPLETED,410.30
Card Payment,Current,2025-02-08 04:38:06,2025-02-08 15:04:35,Uber,-2.35,0.02,EUR,COMPLETED,407.93
Card Payment,Current,2025-02-07 15:42:39,2025-02-08 15:23:14,Raphael Cerqueira Cerneir,-2.69,0.00,EUR,COMPLETED,405.24
Card Payment,Current,2025-02-08 02:30:33,2025-02-08 15:26:38,Galeteria 14.08,-57.59,0.58,EUR,COMPLETED,347.07
Card Payment,Current,2025-02-08 15:11:45,2025-02-09 14:00:18,Mp Waldete,-1.76,0.02,EUR,COMPLETED,345.29
Card Payment,Current,2025-02-08 15:30:06,2025-02-09 14:00:30,Amigos,-36.67,0.37,EUR,COMPLETED,308.25
Card Payment,Current,2025-02-08 13:29:14,2025-02-09 14:01:56,Uber,-2.17,0.02,EUR,COMPLETED,306.06
Card Payment,Current,2025-02-08 14:59:02,2025-02-09 14:02:22,Uber,-1.83,0.02,EUR,COMPLETED,304.21
Card Payment,Current,2025-02-08 16:36:19,2025-02-09 14:02:38,Uber,-2.84,0.03,EUR,COMPLETED,301.34
Card Payment,Current,2025-02-08 14:35:06,2025-02-09 14:03:38,Decathlon,-16.76,0.17,EUR,COMPLETED,284.41
Card Payment,Current,2025-02-09 02:06:47,2025-02-09 14:03:43,Pura Brasa,-63.42,0.63,EUR,COMPLETED,220.36
Card Payment,Current,2025-02-09 03:53:17,2025-02-09 14:12:15,Bem Brasil,-40.21,0.40,EUR,COMPLETED,179.75
Deposit,Current,2025-02-10 13:54:36,2025-02-10 13:54:37,Payment from TOMMASO BATACCHI,500.00,0.00,EUR,COMPLETED,679.75
Card Payment,Current,2025-02-09 16:24:02,2025-02-10 14:16:01,Plurall Barbearia,-20.11,0.20,EUR,COMPLETED,659.44
Card Payment,Current,2025-02-09 18:01:32,2025-02-10 14:16:52,Tche Rio (69),-1.68,0.02,EUR,COMPLETED,657.74
Card Payment,Current,2025-02-09 13:16:44,2025-02-10 14:25:10,Uber,-2.07,0.02,EUR,COMPLETED,655.65
Card Payment,Current,2025-02-09 14:45:42,2025-02-10 14:25:39,Uber,-1.96,0.02,EUR,COMPLETED,653.67
Card Payment,Current,2025-02-09 14:27:05,2025-02-10 14:26:55,Café Cardin,-28.53,0.29,EUR,COMPLETED,624.85
Card Payment,Current,2025-02-09 15:29:27,2025-02-10 14:27:23,Booking.com,-108.57,1.09,EUR,COMPLETED,515.19
Card Payment,Current,2025-02-10 00:16:32,2025-02-10 14:27:52,Uber,-2.84,0.00,EUR,COMPLETED,512.35
Card Payment,Current,2025-02-10 02:34:44,2025-02-10 14:28:38,Uber,-2.51,0.00,EUR,COMPLETED,509.84
Card Payment,Current,2025-02-11 03:17:34,,Uber,-2.21,0.00,EUR,REVERTED,
Card Payment,Current,2025-02-11 03:21:47,,Uber,-2.88,0.00,EUR,REVERTED,
Card Payment,Current,2025-02-11 03:24:12,,Uber,-2.91,0.00,EUR,REVERTED,
Transfer,Savings,2025-02-01 22:45:24,2025-02-01 22:45:24,To pocket EUR Tesla savings from EUR,0.16,0.00,EUR,COMPLETED,5.51
Transfer,Savings,2025-02-02 13:05:13,2025-02-02 13:05:13,To pocket EUR Tesla savings from EUR,0.91,0.00,EUR,COMPLETED,6.42
Transfer,Savings,2025-02-02 22:05:29,2025-02-02 22:05:29,To pocket EUR Tesla savings from EUR,0.25,0.00,EUR,COMPLETED,6.67
Transfer,Savings,2025-02-05 14:32:13,2025-02-05 14:32:13,Pocket Withdrawal,-6.67,0.00,EUR,COMPLETED,0.00
Transfer,Savings,2025-12-06 11:57:34,2025-12-06 11:57:34,Closing transaction,0.00,0.00,EUR,COMPLETED,0.00
Transfer,Current,2025-02-11 12:16:57,2025-02-11 12:16:57,Balance migration to another region or legal entity,-375.13,0.00,EUR,COMPLETED,134.71
Transfer,Current,2025-02-11 12:16:57,2025-02-11 12:16:57,Balance migration to another region or legal entity,375.13,0.00,EUR,COMPLETED,509.84
Card Payment,Current,2025-02-11 01:28:40,2025-02-11 16:01:21,Uber,-2.15,0.00,EUR,COMPLETED,507.69
Card Payment,Current,2025-02-10 20:56:52,2025-02-11 16:08:50,Cabana Da Reserva,-4.45,0.00,EUR,COMPLETED,503.24
Card Payment,Current,2025-02-11 13:46:01,2025-02-12 14:58:55,Pao E Acessorios,-3.44,0.00,EUR,COMPLETED,499.80
Card Payment,Current,2025-02-11 14:25:35,2025-02-12 14:58:55,Drogatur 4,-3.06,0.00,EUR,COMPLETED,496.74
Card Payment,Current,2025-02-11 23:15:33,2025-02-12 15:01:42,Drogatur 4,-8.96,0.00,EUR,COMPLETED,487.78
Card Payment,Current,2025-02-11 23:16:20,2025-02-12 15:11:13,Uber,-2.23,0.00,EUR,COMPLETED,485.55
Card Payment,Current,2025-02-11 13:12:52,2025-02-12 15:11:22,Uber,-2.32,0.00,EUR,COMPLETED,483.23
Card Payment,Current,2025-02-11 02:15:32,2025-02-13 10:54:10,Airbnb,-128.11,0.00,EUR,COMPLETED,355.12
Card Payment,Current,2025-02-12 18:32:46,2025-02-13 14:40:55,56.913.517 Ewerton Moreno,-2.01,0.00,EUR,COMPLETED,353.11
Card Payment,Current,2025-02-12 14:46:55,2025-02-13 14:46:38,Lojas Nalin,-13.48,0.00,EUR,COMPLETED,339.63
Card Payment,Current,2025-02-12 13:36:43,2025-02-13 14:48:51,Uber,-2.15,0.00,EUR,COMPLETED,337.48
Card Payment,Current,2025-02-12 14:50:37,2025-02-13 14:49:26,Uber,-2.28,0.00,EUR,COMPLETED,335.20
Card Payment,Current,2025-02-13 00:09:19,2025-02-13 14:49:49,Posto Retao,-31.40,0.00,EUR,COMPLETED,303.80
Card Payment,Current,2025-02-13 00:05:08,2025-02-13 14:49:49,Bracui Lanches E Alime,-24.10,0.00,EUR,COMPLETED,279.70
Card Payment,Current,2025-02-12 23:58:53,2025-02-13 14:51:11,Comercial Itinga De A,-18.15,0.00,EUR,COMPLETED,261.55
Card Payment,Current,2025-02-15 04:02:33,,Uber,-4.34,0.04,EUR,REVERTED,
Card Payment,Current,2025-02-14 16:46:03,2025-02-15 14:33:40,K08 Bar E Lanchonete,-52.94,0.00,EUR,COMPLETED,208.61
Card Payment,Current,2025-02-15 02:23:18,2025-02-15 14:37:50,Docesbedidas,-3.36,0.03,EUR,COMPLETED,205.22
Card Payment,Current,2025-02-14 20:39:48,2025-02-15 14:43:50,Uber,-4.98,0.00,EUR,COMPLETED,200.24
Card Payment,Current,2025-02-14 21:11:26,2025-02-15 14:43:59,Uber,-15.53,0.00,EUR,COMPLETED,184.71
Card Payment,Current,2025-02-15 01:49:46,2025-02-15 14:44:44,Uber,-3.99,0.04,EUR,COMPLETED,180.68
Card Payment,Current,2025-02-15 04:21:58,2025-02-15 14:45:09,Uber,-3.85,0.04,EUR,COMPLETED,176.79
Card Payment,Current,2025-02-15 22:53:55,,Uber,-6.85,0.07,EUR,REVERTED,
Card Payment,Current,2025-02-16 04:29:34,,Uber,-11.26,0.11,EUR,REVERTED,
Card Payment,Current,2025-02-15 15:07:15,2025-02-16 15:31:17,Bounce,-35.89,0.36,EUR,COMPLETED,140.54
Card Payment,Current,2025-02-15 13:09:19,2025-02-16 15:36:10,Pão de Açúcar,-7.50,0.08,EUR,COMPLETED,132.96
Card Payment,Current,2025-02-15 23:22:16,2025-02-16 15:36:17,Uber,-5.37,0.05,EUR,COMPLETED,127.54
Card Payment,Current,2025-02-15 21:12:26,2025-02-16 15:36:18,Uber,-3.02,0.03,EUR,COMPLETED,124.49
Card Refund,Current,2025-02-15 04:48:02,2025-02-16 15:36:19,Uber,4.92,0.00,EUR,COMPLETED,129.41
Card Payment,Current,2025-02-15 00:02:47,2025-02-16 15:36:21,Rappi,-43.68,0.44,EUR,COMPLETED,85.29
Card Payment,Current,2025-02-16 04:32:41,2025-02-16 15:37:48,Uber,-13.59,0.14,EUR,COMPLETED,71.56
Deposit,Current,2025-02-16 16:34:58,2025-02-16 16:34:58,Payment from TOMMASO BATACCHI,250.00,0.00,EUR,COMPLETED,321.56
Transfer,Current,2025-02-16 21:52:08,2025-02-16 21:52:08,Transfer from Revolut user,174.15,0.00,EUR,COMPLETED,495.71
Card Payment,Current,2025-02-16 20:15:58,2025-02-17 14:29:57,Drogaria Venancio,-7.86,0.08,EUR,COMPLETED,487.77
Card Payment,Current,2025-02-16 19:53:54,2025-02-17 14:31:37,Uber,-2.52,0.03,EUR,COMPLETED,485.22
Card Payment,Current,2025-02-16 22:00:34,2025-02-17 14:32:18,Drogaria Venancio,-2.02,0.03,EUR,COMPLETED,483.17
Card Payment,Current,2025-02-17 01:53:30,2025-02-17 14:32:23,Hortifruti,-3.04,0.02,EUR,COMPLETED,480.11
Card Payment,Current,2025-02-16 00:17:14,2025-02-17 14:32:41,Rappi,-37.51,0.38,EUR,COMPLETED,442.22
Card Payment,Current,2025-02-17 00:25:41,2025-02-17 14:42:22,Uber,-5.03,0.03,EUR,COMPLETED,437.16
Card Payment,Current,2025-02-17 01:33:54,2025-02-17 14:42:55,Uber,-3.52,0.02,EUR,COMPLETED,433.62
Card Payment,Current,2025-02-17 16:37:12,,Uber,-6.55,0.03,EUR,REVERTED,
ATM,Current,2025-02-16 21:52:34,2025-02-18 06:04:10,Cash withdrawal at 4029303,-172.03,5.46,EUR,COMPLETED,256.13
ATM,Current,2025-02-16 21:46:21,2025-02-18 06:04:16,Cash withdrawal at 4029303,-171.93,2.22,EUR,COMPLETED,81.98
Card Payment,Current,2025-02-17 17:16:40,2025-02-18 15:50:46,Uber,-6.20,0.03,EUR,COMPLETED,75.75
Card Payment,Current,2025-02-17 18:54:46,2025-02-18 15:51:16,Uber,-3.36,0.02,EUR,COMPLETED,72.37
Card Payment,Current,2025-02-17 19:56:57,2025-02-18 15:51:21,Uber,-6.54,0.03,EUR,COMPLETED,65.80
Card Payment,Current,2025-02-17 16:31:47,2025-02-18 15:51:52,Drogarias Pacheco,-6.20,0.03,EUR,COMPLETED,59.57
Card Payment,Current,2025-02-17 21:27:03,2025-02-18 15:52:02,Uber,-5.02,0.03,EUR,COMPLETED,54.52
Card Payment,Current,2025-02-17 01:41:38,2025-02-18 15:52:24,Rappi,-40.49,0.20,EUR,COMPLETED,13.83
Card Payment,Current,2025-02-17 20:18:18,2025-02-18 16:29:13,Luiz Aloise,-6.38,0.03,EUR,COMPLETED,7.42
Deposit,Current,2025-02-21 08:32:03,2025-02-21 08:32:04,Payment from TOMMASO BATACCHI,25.00,0.00,EUR,COMPLETED,32.42
Card Payment,Current,2025-02-21 08:32:12,2025-02-22 13:21:25,WINDTRE,-25.00,0.00,EUR,COMPLETED,7.42
Deposit,Current,2025-03-16 17:17:25,2025-03-16 17:17:25,Payment from TOMMASO BATACCHI,29.00,0.00,EUR,COMPLETED,36.42
Transfer,Current,2025-03-16 17:17:50,2025-03-16 17:17:51,Transfer to XIYA LUO,-29.00,0.00,EUR,COMPLETED,7.42
Deposit,Current,2025-03-21 19:41:47,2025-03-21 19:41:47,Payment from TOMMASO BATACCHI,100.00,0.00,EUR,COMPLETED,107.42
ATM,Current,2025-03-21 19:42:50,2025-03-22 15:03:34,Cash withdrawal at 22207150,-104.95,0.00,EUR,COMPLETED,2.47
Deposit,Current,2025-04-17 16:42:12,2025-04-17 16:42:12,Payment from TOMMASO BATACCHI,50.00,0.00,EUR,COMPLETED,52.47
Card Payment,Current,2025-04-17 16:42:24,2025-04-18 12:58:46,WINDTRE,-50.00,0.00,EUR,COMPLETED,2.47
Transfer,Current,2025-05-03 22:24:31,2025-05-03 22:24:31,Transfer from Revolut user,3.00,0.00,EUR,COMPLETED,5.47
Transfer,Current,2025-05-06 22:31:09,2025-05-06 22:31:09,Transfer from Revolut user,5.00,0.00,EUR,COMPLETED,10.47
CARD_CREDIT,Current,2025-05-08 13:21:58,2025-05-08 13:21:58,Paypal*batacchi Tommaso,89.10,0.00,EUR,COMPLETED,99.57
Transfer,Current,2025-05-08 13:22:24,2025-05-08 13:22:27,To Tommaso Batacchi,-99.57,0.00,EUR,COMPLETED,0.00
Reward,Current,2025-05-24 13:12:22,2025-05-24 13:12:22,Referral reward,80.00,0.00,EUR,COMPLETED,80.00
Transfer,Current,2025-05-24 13:24:45,2025-05-24 13:24:45,Transfer to Revolut user,-40.00,0.00,EUR,COMPLETED,40.00
Transfer,Current,2025-05-24 13:25:02,2025-05-24 13:25:04,To Tommaso Batacchi,-40.00,0.00,EUR,COMPLETED,0.00
Deposit,Current,2025-06-28 08:35:57,2025-06-28 08:35:57,Payment from TOMMASO BATACCHI,100.00,0.00,EUR,COMPLETED,100.00
Transfer,Current,2025-06-28 08:44:31,2025-06-28 08:44:32,To Tommaso Batacchi,-100.00,0.00,EUR,COMPLETED,0.00
Deposit,Current,2025-06-29 07:57:32,2025-06-29 07:57:32,Payment from TOMMASO BATACCHI,100.00,0.00,EUR,COMPLETED,100.00
Transfer,Current,2025-06-29 08:18:27,2025-06-29 08:18:28,Transfer to STEPHANIE FURRETA BENTO,-60.00,0.00,EUR,COMPLETED,40.00
Transfer,Current,2025-07-14 06:31:30,2025-07-14 06:31:31,To Tommaso Batacchi,-40.00,0.00,EUR,COMPLETED,0.00
Deposit,Current,2025-09-05 11:28:40,2025-09-05 11:28:40,Payment from TOMMASO BATACCHI,10.00,0.00,EUR,COMPLETED,10.00
Deposit,Current,2025-09-16 18:40:56,2025-09-16 18:40:56,Payment from TOMMASO BATACCHI,80.00,0.00,EUR,COMPLETED,90.00
Card Payment,Current,2025-09-16 18:46:21,2025-09-17 11:54:53,"Rewards distributed, UAB",-72.52,0.00,EUR,COMPLETED,17.48
Deposit,Current,2025-10-06 11:23:20,2025-10-06 11:23:20,Payment from TOMMASO BATACCHI,10.00,0.00,EUR,COMPLETED,27.48
Transfer,Current,2025-10-06 11:23:32,2025-10-06 11:23:32,Transfer to STEPHANIE FURRETA BENTO,-25.00,0.00,EUR,COMPLETED,2.48
Deposit,Current,2025-11-03 14:06:14,2025-11-03 14:06:15,Payment from TOMMASO BATACCHI,12.10,0.00,EUR,COMPLETED,14.58
Transfer,Current,2025-11-03 14:06:34,2025-11-03 14:06:35,Transfer to Revolut user,-12.10,0.00,EUR,COMPLETED,2.48
Transfer,Current,2025-11-03 14:20:46,2025-11-03 14:20:47,Transfer from Youssef Mohamed Rahmy,1.00,0.00,EUR,COMPLETED,3.48
Deposit,Current,2025-11-03 14:21:26,2025-11-03 14:21:27,Payment from TOMMASO BATACCHI,24.00,0.00,EUR,COMPLETED,27.48
Transfer,Current,2025-11-03 14:21:38,2025-11-03 14:21:39,Transfer to Youssef Mohamed Rahmy,-27.48,0.00,EUR,COMPLETED,0.00
Deposit,Current,2025-11-15 15:34:50,2025-11-15 15:34:50,Payment from TOMMASO BATACCHI,100.00,0.00,EUR,COMPLETED,100.00
Transfer,Current,2025-11-15 15:34:57,2025-11-15 15:34:58,Transfer to Revolut user,-100.00,0.00,EUR,COMPLETED,0.00
Deposit,Current,2025-11-18 14:50:35,2025-11-18 14:50:35,Payment from TOMMASO BATACCHI,100.00,0.00,EUR,COMPLETED,100.00
Transfer,Current,2025-11-18 14:51:06,2025-11-18 14:51:07,Transfer to Revolut user,-20.00,0.00,EUR,COMPLETED,80.00
Transfer,Current,2025-11-20 17:11:41,2025-11-20 17:11:42,Transfer to Revolut user,-50.00,0.00,EUR,COMPLETED,30.00
Transfer,Current,2025-11-28 13:28:19,2025-11-28 13:28:19,Transfer from Revolut user,80.00,0.00,EUR,COMPLETED,110.00
Transfer,Current,2025-12-06 11:57:45,2025-12-06 11:57:45,Transfer to Revolut user,-50.00,0.00,EUR,COMPLETED,60.00
Transfer,Current,2025-12-07 15:06:03,2025-12-07 15:06:04,Transfer to Revolut user,-50.00,0.00,EUR,COMPLETED,10.00
Transfer,Current,2025-12-13 10:10:27,2025-12-13 10:10:28,Transfer to Revolut user,-10.00,0.00,EUR,COMPLETED,0.00
Transfer,Current,2025-12-17 23:41:13,2025-12-17 23:41:13,Transfer from Youssef Mohamed Rahmy,44.00,0.00,EUR,COMPLETED,44.00
Transfer,Current,2025-12-19 20:08:59,2025-12-19 20:09:00,Transfer to Youssef Mohamed Rahmy,-35.00,0.00,EUR,COMPLETED,9.00
Transfer,Current,2025-12-19 20:09:49,2025-12-19 20:09:50,Transfer from Youssef Mohamed Rahmy,5.00,0.00,EUR,COMPLETED,14.00
Transfer,Current,2025-12-31 10:05:46,2025-12-31 10:05:46,Transfer to Revolut user,-14.00,0.00,EUR,COMPLETED,0.00
Transfer,Current,2026-02-24 21:06:46,2026-02-24 21:06:46,Transfer from VALERIA ANGELINI,300.00,0.00,EUR,COMPLETED,300.00
Transfer,Current,2026-02-25 08:55:58,2026-02-25 08:55:59,To Tommaso Batacchi,-300.00,0.00,EUR,COMPLETED,0.00
